RepRisk_ID,RepRisk_story_ID,RepRisk_substory_ID,news_date,source_language,related_issues,related_topic_tags,related_UNGC_principles,related_countries,related_countries_codes,severity,novelty,reach,name,headquarter_country,headquarter_country_code,sectors,url,all_ISINs,primary_ISIN,No_reported_risk_exposure
31,353363,470600,20180903,English,"Climate change, GHG emissions, and global pollution;Violation of national legislation",,Principle 7 (Environment);Principle 8 (Environment);Principle 9 (Environment),United States of America,US,1,1,2,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,354017,471512,20180908,English,"Impacts on communities;Impacts on landscapes, ecosystems and biodiversity;Local pollution;Waste issues",Indigenous people;Wastewater management;Health impact;Land ecosystems,Principle 7 (Environment);Principle 8 (Environment);Principle 9 (Environment),Ecuador,EC,1,1,3,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,354635,472292,20180911,English,"Impacts on communities;Impacts on landscapes, ecosystems and biodiversity;Climate change, GHG emissions, and global pollution",Indigenous people;Land ecosystems,Principle 7 (Environment);Principle 8 (Environment);Principle 9 (Environment),United States of America,US,1,1,2,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,355709,473669,20180913,Spanish,"Corruption, bribery, extortion and money laundering;Fraud",,Principle 10 (Anti-corruption),Ecuador,EC,1,1,2,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,356051,476975,20180916,English,"Impacts on landscapes, ecosystems and biodiversity;Local pollution;Violation of national legislation",Marine/Coastal ecosystems,Principle 7 (Environment);Principle 8 (Environment);Principle 9 (Environment),Brazil,BR,1,1,2,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,356510,474689,20180911,English,"Impacts on communities;Impacts on landscapes, ecosystems and biodiversity;Local pollution;Waste issues",Fracking;Health impact;Land ecosystems,Principle 7 (Environment);Principle 8 (Environment);Principle 9 (Environment),United States of America,US,2,1,1,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,357839,476603,20180920,English,Local pollution;Violation of national legislation,,Principle 7 (Environment);Principle 8 (Environment);Principle 9 (Environment),United States of America,US,1,1,1,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,358247,476840,20180919,English,"Impacts on communities;Impacts on landscapes, ecosystems and biodiversity;Local pollution;Human rights abuses and corporate complicity;Local participation issues;Corruption, bribery, extortion and money laundering;Fraud",Indigenous people;Health impact,Principle 1 (Human Rights);Principle 2 (Human Rights);Principle 7 (Environment);Principle 8 (Environment);Principle 9 (Environment);Principle 10 (Anti-corruption),Ecuador,EC,2,1,1,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,358247,477061,20180919,English,Fraud,,,United States of America,US,1,1,1,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
31,359171,477965,20180905,English,Human rights abuses and corporate complicity,,Principle 1 (Human Rights);Principle 2 (Human Rights),Myanmar;Colombia;Nigeria;Peru,MM;CO;NG;PE,1,2,1,Chevron Corp (Chevron),United States of America,US,Oil and Gas,https://www.chevron.com,US166764BV15 US166764BZ29 US166764BY53 US166764BX70 US166764BW97 US166764BU32 US166764CA68 US166764AU41 US166764BB50 US166764AS94 US166764AP55 US166764AM25 US166764AK68 US166764AJ95 US166764AW07 US166764AX89 US166764BR03 US166764BQ20 US166764BM16 US166764BF64 US166764BE99 US166764BD17 US166764AA86 US166764AL42 US166764AN08 US166751AH01 US166764BL33 US166764BA77 US166764AG56 US166764AR12 US166764AH30 US166764AT77 US166764AB69 US166751AJ66 USU915281146 US166764AE09 US166764BC34 US166764BT68 US166764BN98 US166764BP47 US166764BK59 US166764BS85 US166764AV24 US166764AC43 US166764BH21 US166764AY62 US166764BG48 US1667641005,US1667641005,false
